slug,name,areaSlug,areaName,category,mediaType,address,tags,widthM,heightM,resolutionPx,operationHours,minMonthlyPriceKRW,sourcePages,needsReview,dataQualityNote
dosan-gangnam-building,도산대로 강남빌딩 전광판,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 도산대로 217,도산대로|신사동|을지병원사거리|프리미엄|수입차전시장,13.0,17.2,1280 x 1680,06:00~24:00,12000000,29,False,
dosan-baekyoung-building,도산대로 백영빌딩 전광판,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 도산대로 307,강남|압구정역|압구정로데오역|도산대로,40.0,9.0,3968 x 864 ((1536+512+1920) x 864),06:00~24:00,15000000,30,False,
dosan-hak-building,도산공원사거리 학빌딩,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 도산대로 239,강남|도산대로|언주로|도산공원사거리|프리미엄|수입차,16.5,9.0,1280 x 768,06:00~24:00,12000000,31,True,3일 가격에 '(3구좌)' 조건이 붙어 단순 단기 단가로 보기 어려워 검수 필요합니다.
dosan-bmw-building,도산공원 사거리 BMW 빌딩,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 도산대로 301,강남|도산대로|언주로|도산공원사거리|프리미엄|수입차,13.0,8.0,1920 x 1080,06:00~24:00,8000000,32,False,
dosan-hakil-building,도산대로 학동사거리 학일빌딩,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 논현동 94-2,도산대로|학동사거리|교차로|수입차전시장|명품,17.2,8.6,1680 x 812,06:00~24:00,6000000,33,False,
dosan-hansum-building,도산대로 한섬빌딩 전광판,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 도산대로 523,청담동|도산대로|명품|청담사거리,11.5,19.5,1056 x 1824,06:00~24:00,12000000,34,False,
cheongdam-bluepearl-hotel,청담 블루펄호텔 전광판,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 청담동 129-3,영동대로|교차로|고급주거지역|프리미엄|교통정체구간,11.0,19.5,1056 x 1920,06:00~24:00,12000000,35,False,
dosan-timesync-1,도산대로 사거리 타임싱크 1,dosan-daero,도산대로 프리미엄,package,타임싱크 패키지,도산대로 썬앤빌·학빌딩·엠포리아 일대,엠포리아빌딩|현대썬앤빌|학빌딩|타임싱크,,,,06:00~24:00,45000000,36,True,패키지 가격이 1.2억원과 1.1억원으로 병기되어 적용 조건 확인이 필요합니다.
dosan-timesync-2,도산대로 사거리 타임싱크 2,dosan-daero,도산대로 프리미엄,package,타임싱크 패키지,도산대로 SB타워·백영빌딩 일대,SB타워|백영빌딩|도산공원|도산대로,,,,06:00~24:00,36000000,37,True,"패키지 가격이 8,100만원과 7,000만원으로 병기되어 적용 조건 확인이 필요합니다."
samseong-kpop-square-package,삼성동 K-POP 스퀘어 패키지,samseong-coex,삼성 코엑스,package,패키지,"서울시 강남구 영동대로 511, 트레이드타워",영동대로|교차로|프리미엄|교통정체구간,81.0,20.0,,06:00~24:00,,40,True,원본에 해상도와 상세 패키지 가격이 별도 페이지로 분리되어 있어 상담 확인 필요합니다.
samseong-coex-kpop-detail,삼성동 COEX K-pop 스퀘어 패키지 상세,samseong-coex,삼성 코엑스,package,패키지,서울시 강남구 영동대로 511 일대,K-pop 스퀘어|코엑스|패키지|싱크,,,,06:00~24:00,60000000,41,True,3안 단독 가격이 1/2구좌와 1구좌로 병기되어 대표 월가만 분리했습니다.
samseong-hyundai-department,삼성역 현대백화점 전광판,samseong-coex,삼성 코엑스,large_billboard,대형 전광판,서울시 강남구 테헤란로 517,현대백화점|면세점|무역센터|삼성역|코엑스,37.4,36.1,"3616 x 3488, (1360x3488) + (2256x3488)",06:00~24:00,50000000,42,False,
samseong-coex-media-tower-cmt,삼성역 코엑스 미디어타워 CMT,samseong-coex,삼성 코엑스,large_billboard,대형 전광판,서울시 강남구 영동대로 513,코엑스|파르나스몰|도심공항터미널|특급호텔|전시,10.7,29.6,960 x 2112,06:00~24:00,30000000,43,False,
samseong-parnas-media-tower-pmt,삼성역 파르나스 미디어타워 PMT,samseong-coex,삼성 코엑스,large_billboard,대형 전광판,서울시 강남구 테헤란로 521,코엑스|파르나스몰|도심공항터미널|특급호텔|전시,12.3,26.0,1440 x 2560,06:00~24:00,40000000,44,False,
samseong-media-tower-package-cpmt,삼성역 미디어타워 패키지 CPMT,samseong-coex,삼성 코엑스,package,패키지,서울시 강남구 영동대로 513 / 테헤란로 521,코엑스|파르나스몰|도심공항터미널|동시송출,,,CMT: 960 x 2112 / PMT: 1440 x 2560,06:00~24:00,45000000,45,False,
samseong-shilla-stay,삼성동 신라스테이 전광판,samseong-coex,삼성 코엑스,large_billboard,대형 전광판,서울시 강남구 영동대로 506,삼성역|코엑스|파르나스몰|도심공항터미널|무역센터,13.3,16.9,1312 x 1664,07:00~23:00,12000000,46,True,30초 100회 15일 가격이 '850원/15일'로 추출되어 숫자 보정 없이 검수 필요 처리했습니다.
samseong-superior-tower,삼성역 사거리 슈페리어타워,samseong-coex,삼성 코엑스,large_billboard,대형 전광판,서울시 강남구 테헤란로 528,코엑스|파르나스몰|도심공항터미널|호텔|전시,12.7,17.3,1248 x 1696,06:00~24:00,12000000,47,False,
samseong-landmark-building,삼성동 랜드마크빌딩 전광판,samseong-coex,삼성 코엑스,large_billboard,대형 전광판,서울시 강남구 영동대로 607,도심공항터미널|무역센터|ASEM타워|백화점|호텔|전시,12.4,18.2,1216 x 1792,06:00~24:00,10000000,48,False,
samseong-luchen-tower,삼성 도심공항터미널 사거리 루첸타워,samseong-coex,삼성 코엑스,large_billboard,대형 전광판,서울시 강남구 테헤란로 510,코엑스|도심공항터미널|현대백화점|무역센터|영동대로,10.5,20.0,1024 x 1888,06:00~24:00,12000000,49,False,
samseong-vplex,삼성역 포스코사거리 VPLEX 전광판,samseong-coex,삼성 코엑스,large_billboard,대형 전광판,서울시 강남구 테헤란로 501 브이플렉스,삼성역|선릉역|코엑스|오피스밀집지역|무역센터,14.0,16.0,1376 x 1568,06:00~24:00,9000000,50,False,
shopping-coex-9to9-cube,삼성 COEX 9to9 Cube,samseong-coex,삼성 코엑스,shopping_mall_did,쇼핑몰 DID,봉은사로 524 코엑스 메인 입구+라이브 플라자,쇼핑몰|코엑스|DID|체류형,,,,상세 정보 확인,25000000,10,True,요약 표 매체로 운영시간과 상세 규격은 별도 확인 필요합니다.
subway-gangnam-pmp,강남역 2호선 PMP,gangnam-daero,강남역/강남대로,subway,지하철 광고,강남역,지하철|강남역|PMP|이동동선,,,,상세 정보 확인,15000000,11,True,요약 표 매체로 운영시간과 상세 규격은 별도 확인 필요합니다.
bus-gangnam-shelter,강남대로 디지털 버스쉘터,gangnam-daero,강남역/강남대로,bus,버스 광고,강남대로 16면+서초2면+삼성2면,버스쉘터|강남대로|디지털|반복노출,,,,상세 정보 확인,25000000,12,True,요약 표 매체로 운영시간과 상세 규격은 별도 확인 필요합니다.
transport-seoul-station-ktx-panorama,서울역 KTX 파노라마 전광판,seoul-station,서울역,transport_hub,도시 철도·버스·터미널,서울역,KTX|서울역|교통허브|전국커버리지,,,,상세 정보 확인,80000000,13,True,요약 표 매체로 운영시간과 상세 규격은 별도 확인 필요합니다.
daily-apartment-elevator-tv,아파트 엘리베이터 TV,other-national,전국 생활권,daily_touchpoint,생활밀착형 광고,전국/수도권/지방 전체 또는 특정 구역 단지,아파트|엘리베이터|생활권|반복노출,,,,상세 정보 확인,6000000,14,True,가격 범위와 개별 단가가 혼재되어 대표 최소 패키지 금액만 입력했습니다.
